COUNT    | Process Argument
       2 | process.args:( "??:\\program files\\npcap\\checkstatus.bat?", "?:\\program files\\npcap\\checkstatus.bat", "\\system32\\cleanmgr.exe", "?:\\windows\\system32\\silcollector.cmd", "\\system32\\apphostregistrationverifier.exe", "\\system32\\servermanagerlauncher.exe"))
       2 | process.args:( "/dclist:*", "/dcname:*", "/dsget*", "/lsaqueryfti:*", "/parentdomain", "/domain_trusts", "/bdc_query:*")
       2 | process.args:( "/users/*/library/keychains/*", "/library/keychains/*", "/network/library/keychains/*", "system.keychain", "login.keychain-db", "login.keychain") 
       2 | process.args:( "c:\\users\\*", "c:\\programdata\\*", "c:\\windows\\temp\\*", "c:\\windows\\tasks\\*", "c:\\perflogs\\*", "c:\\intel\\*", "c:\\windows\\debug\\*", "c:\\hp\\*")
       2 | process.args:( "c:\\windows\\system32\\osk.exe", "c:\\windows\\system32\\magnify.exe", "c:\\windows\\system32\\narrator.exe", "c:\\windows\\system32\\sethc.exe", "utilman.exe", "atbroker.exe", "displayswitch.exe", "sethc.exe")
       2 | process.args:( "productversion", "hw.model", "ioreg", "productname", "productuservisibleversion", "productbuildversion", "/library/application support/microsoft/merp*/microsoft error reporting.app/contents/macos/microsoft error reporting")
       2 | process.args:(-change or -create or -run or -s or /s or /change or /create or /run)
       2 | process.args:(-decode or -encode or /decode or /encode)
       2 | process.args:("-- remote-debugging-port=*", "--remote-debugging- targets=*", "--remote-debugging-pipe=*")
       2 | process.args:("-action" and ("-kerberoast" or askhash or asktgs or asktgt or s4u or ("-ticket" and ptt) or (dump and (tickets or keytab))))
       2 | process.args:("-d", "-w"))
       2 | process.args:("-disable*", "disabled", "neversend", "-exclusion*")
       2 | process.args:("-hp*", "-p*", "-dw", "-tb", "-ta", "/hp*", "/p*", "/dw", "/tb", "/ta"))
       2 | process.args:("-l", "-p", "-r", "-pw", "-ssh")
       2 | process.args:("-p*", "-sdel")) /* uncomment if noisy for backup software related fps */ /* not process.parent.executable:("c:\\program files\\*.exe", "c:\\program files (x86)\\*.exe") */
       2 | process.args:("-setremotelogin" and on)
       2 | process.args:("?:\\windows\\system32\\davclnt.dll,davsetcookie", "?:\\windows\\syswow64\\davclnt.dll,davsetcookie") and /* access to named pipe via http */
       2 | process.args:("?decode", "?encode", "?urlcache", "?verifyctl", "?encodehex", "?decodehex", "?exportpfx")
       2 | process.args:("*/y*", "*/vss*", "*/d*")))
       2 | process.args:("*\\ntds.dit", "*\\config\\sam", "\\*\\globalroot\\device\\harddiskvolumeshadowcopy*\\*", "*/system32/config/sam*")
       2 | process.args:("*add- mppreference*-exclusion*", "*set-mppreference*-exclusion*")
       2 | process.args:("*get-wmiobject*", "*gwmi*", "*get- ciminstance*", "*gcim*")
       2 | process.args:("*mklink*", "*symboliclink*") and process.command_line:("*harddiskvolumeshadowcopy*")
       2 | process.args:("/ad", "/add"))
       2 | process.args:("/e:false", "cl", "clear-log")
       2 | process.args:("/loadsavedwindows", "/restore", "restartbyrestartmanager*", "--restarted", "createdump", "dontsend", "/watson")
       2 | process.args:("/ru", "/sc", "/tn", "/tr", "/f", "/xml") and /* exclude system sids - look for task creations by non-system user */ not user.id:("s-1-5-18", "s-1-5-19", "s-1-5-20")] by process.parent.entity_id
       2 | process.args:("/sys/class/dmi/id/bios_version" or "/sys/class/dmi/id/product_name" or "/sys/class/dmi/id/chassis_vendor" or "/proc/scsi/scsi" or "/proc/ide/hd0/model") and not user.name:root
       2 | process.args:("\\\\*\\*$*", "\\\\*@ssl\\*", "http*") and /* excluding shares deletion operation */ not
       2 | process.args:("2&gt;&amp;1", "1&gt;")
       2 | process.args:("action=allow", "enable=yes", "enable")
       2 | process.args:("admin", "domain admins", "remote desktop users", "enterprise admins", "organization management") 
       2 | process.args:("binpath=*", "binpath=*")
       2 | process.args:("c:\\users\\*.dll", "c:\\programdata\\*.dll", "c:\\windows\\temp\\*.dll", "c:\\windows\\tasks\\*.dll")
       2 | process.args:("c:\\users\\*", "c:\\programdata\\*", "c:\\windows\\temp\\*", "c:\\windows\\tasks\\*", "c:\\perflogs\\*", "c:\\intel\\*") 
       2 | process.args:("c:\\windows \\system32\\*.exe", "c:\\windows \\syswow64\\*.exe")
       2 | process.args:("config", "create", "start", "delete", "stop", "pause") and /* exclude system sid - look for service creations by non-system user */ not user.id:"s-1-5-18"
       2 | process.args:("copy", "xcopy", "copy-item", "move", "cp", "mv"))
       2 | process.args:("create", "config", "failure", "start")] [network where process.name:"sc.exe" and destination.ip != "127.0.0.1"
       2 | process.args:("exec \"/bin/sh\";" or "exec \"/bin/dash\";" or "exec \"/bin/bash\";")
       2 | process.args:("find-certificate", "add-trusted-cert", "set-keychain-settings", "delete-certificate", "/users/*/library/keychains/openvpn.keychain-db", "show-keychain-info", "lock-keychain", "set-key-partition-list", "import", "find-identity")
       2 | process.args:("group", "user", "localgroup")
       2 | process.args:("group", "useraccount"))
       2 | process.args:("histfile=/dev/null", "histfilesize=0"))
       2 | process.args:("http*/print/pipe/*", "http*/pipe/spoolss", "http*/pipe/srvsvc")
       2 | process.args:("localport=3389", "remotedesktop", "group=\"remote desktop\"")
       2 | process.args:("parallels*", "vmware*", "virtualbox*")
       2 | process.args:("rm", "echo")
       2 | process.args:("uxtheme.dll,#64", "printui.dll,printuientry", "?:\\windows\\system32\\firewallcontrolpanel.dll,shownotificationdialo g", "?:\\windows\\system32\\speech\\speechux\\sapi.cpl", "?:\\windows\\system32\\shell32.dll,openas_rundll")) and not (process.name:"cscript.exe"
       2 | process.args:(("-downloadfile" or "-downloadfile") and "-url" and "-path")
       2 | process.args:(/set and (bootstatuspolicy and ignoreallfailures or no and recoveryenabled))
       2 | process.args:(advfirewall and off and state)
       2 | process.args:(catalog and delete)
       2 | process.args:(config or create or failure or start)
       2 | process.args:(delete and shadowcopy)
       2 | process.args:(delete and shadows)
       2 | process.args:(deletejournal and usn)
       2 | process.args:(disable and firewall and set)
       2 | process.args:(disable or stop or kill)))
       2 | process.args:(kmod and list and sudo or sudo and (depmod or lsmod or modinfo))
       2 | process.args:(setenv and not (java*_home or runtime_java_home or dbus_launchd_session_bus_socket or ant_home or lg_webos_tv_sdk_home or webos_cli_tv or eden_env))
       2 | process.args:(spctl and "--master-disable")
       2 | process.args:(syslog or rsyslog or "syslog-ng")
       2 | process.args:(u+s or /4[0-9]{3}/) and not user.name:root
       2 | process.args:(user and (/ad or /add))
       2 | process.args:(write and "-bool" and (com.apple.softwareupdate or /library/preferences/com.apple.softwareupdate.plist) and not (true or true))
       2 | process.args:/dontlog\:\"true\"
       2 | process.args:/lockscreenurl\:http*
       2 | process.args:+h
       2 | process.args:0
       2 | process.args:3389")
       2 | process.args:cl
       2 | process.args:clear-eventlog
       2 | process.args:off)
       2 | process.args:stop)
       1 | process.args in ("2&gt;&amp;1", "1&gt;")
       1 | process.args in ("loginhook", "logouthook")
       1 | process.args_count &gt; 12
       1 | process.args_count:1
       1 | process.args, "-r", "-t", "-a*","-m*")
       1 | process.args, "\\\\127.0.0.1\\*")
       1 | process.args:-cv*
       1 | process.args:"--nc"
       1 | process.args:"-a")
       1 | process.args:"-a"] [process where event.type in ("start", "process_started") and process.name:"pluginkit"
       1 | process.args:"-accepteula"
       1 | process.args:"-c" and process.command_line:( "/bin/bash -c xattr -c *", "/bin/zsh -c xattr -c *", "/bin/sh -c xattr -c *"
       1 | process.args:"-c"] by process.parent.pid
       1 | process.args:"-c"] by process.ppid
       1 | process.args:"-connectpppoeservice"
       1 | process.args:"-downloadfile"
       1 | process.args:"-embedding" ] by host.id, process.entity_id [network where event.type:"start" and process.name:"mshta.exe" and network.direction:"incoming" and network.transport:"tcp" and source.port &gt; 49151 and destination.port &gt; 49151 and not source.address in ("127.0.0.1", "::1") ] by host.id, process.entity_id
       1 | process.args:"-embedding" ] by host.id, process.entity_id [network where event.type:"start" and process.name:"mshta.exe" and network.direction:("incoming", "ingress") and network.transport:"tcp" and source.port &gt; 49151 and destination.port &gt; 49151 and not source.address in ("127.0.0.1", "::1") ] by host.id, process.entity_id
       1 | process.args:"-f"
       1 | process.args:"-jar"
       1 | process.args:"-path"
       1 | process.args:"-s"
       1 | process.args:"-s0"
       1 | process.args:"-sf"
       1 | process.args:"-url"
       1 | process.args:"-wa"
       1 | process.args:"?:\\*:*"
       1 | process.args:"?:\\*.bat" and process.working_directory:"?:\\windows\\system32\\") and not (process.name:"cscript.exe"
       1 | process.args:"?:\\program files\\npcap\\checkstatus.bat??")
       1 | process.args:"?:\\windows\\system32\\calluxxprovider.vbs") and not (process.name:"powershell.exe"
       1 | process.args:"*-all*"
       1 | process.args:"*-enabled*"
       1 | process.args:"*.jar" and /* add any fp's here */ not process.executable:("/users/*/.sdkman/*", "/library/java/javavirtualmachines/*") 
       1 | process.args:"*.ko"
       1 | process.args:"*.vmoptions"
       1 | process.args:"*\\globalroot\\device\\harddiskvolumeshadowcopy*"
       1 | process.args:"*clear-history*"
       1 | process.args:"*false*"
       1 | process.args:"*mklink*"
       1 | process.args:"*savenothing*"
       1 | process.args:"*set- psreadlineoption*"
       1 | process.args:"*set-netfirewallprofile*"
       1 | process.args:"/dev/null"
       1 | process.args:"/etc/shadow"
       1 | process.args:"/private/var/db/systemkey"
       1 | process.args:"/users/*/library/application support/iterm2/scripts/autolaunch/*.scpt" ] by process.parent.pid
       1 | process.args:"/usr/bin/snap"
       1 | process.args:"\\\\*")) /* expand when ancestory is available and not descendant of [process where event.type:("start", "process_started") and process.name:"cmd.exe" and ((process.parent.name:"userinit.exe")
       1 | process.args:"\\\\*")) /* expand when ancestry is available and not descendant of [process where event.type:"start" and process.name:"cmd.exe" and ((process.parent.name:"userinit.exe")
       1 | process.args:"\\\\*")) /* expand when ancestry is available and not descendant of [process where event.type:("start", "process_started") and process.name:"cmd.exe" and ((process.parent.name:"userinit.exe")
       1 | process.args:"add-trusted-cert"
       1 | process.args:"add-trusted-cert" and not pr ocess.parent.executable:("/library/bitdefender/avp/product/bin/bdcorei ssues" or "/applications/bitdefender/securitynetworkinstallerapp.app/c ontents/macos/securitynetworkinstallerapp")
       1 | process.args:"add"
       1 | process.args:"avast"
       1 | process.args:"bpf"
       1 | process.args:"c:\\*:*"
       1 | process.args:"cl")
       1 | process.args:"clear- eventlog"
       1 | process.args:"com.emeraldcube.prism.launcher.invoker") and not (process.executable:"c:\\docusnap 11\\tools\\nmap\\nmap.exe"
       1 | process.args:"config"
       1 | process.args:"dump-keychain"
       1 | process.args:"enable=yes"
       1 | process.args:"failure"
       1 | process.args:"filter"
       1 | process.args:"group=network discovery"
       1 | process.args:"ln"
       1 | process.args:"new- mailboxexportrequest*"
       1 | process.args:"password"
       1 | process.args:"passwords"
       1 | process.args:"recoveryenabled"
       1 | process.args:"rssocks"
       1 | process.args:"rundll32.exe" and network.protocol != "dns" and network.direction:"outgoing" and not cidrmatch(destination.ip, "10.0.0.0/8", "172.16.0.0/12", "192.168.0.0/16", "127.0.0.0/8")
       1 | process.args:"rundll32.exe" and not cidrmatch(destination.ip, "10.0.0.0/8", "172.16.0.0/12", "192.168.0.0/16", "127.0.0.0/8", "fe80::/10", "::1/128")
       1 | process.args:"set- casmailbox*activesyncalloweddeviceids*"
       1 | process.args:"shadows"
       1 | process.args:"smb-os-discovery.nse"
       1 | process.args:"start"
       1 | process.args:"start")] [network where process.name:"sc.exe" and destination.ip != "127.0.0.1"
       1 | process.args:"state"
       1 | process.args:"truncate"
       1 | process.args:"write"
       1 | process.args:"xattr"
       1 | process.args:( "/library/application support/microsoft/mau*/microsoft autoupdate.app/contents/macos/msupdate", "hw.model", "ioplatformexpertdevice", "/volumes/google chrome/google chrome.app/contents/frameworks/*/resources/install.sh", "-- defaults-torrc", "chrome.app", "framework.framework/vers ions/*/resources/keystone_promote_preflight.sh", "/users/*/library/application support/google/chrome/recovery/*/chromerecovery", "$display", "gio_launched_desktop_file_pid=$$")
       1 | process.args:( "/users/*/library/application support/google/chrome/default/login data", "/users/*/library/application support/google/chrome/default/cookies", "/users/*/library/application support/google/chrome/profile*/cookies", "/users/*/library/cookies*", "/users/*/library/application support/firefox/profiles/*.default/cookies.sqlite", "/users/*/library/application support/firefox/profiles/*.default/key*.db", "/users/*/library/application support/firefox/profiles/*.default/logins.json", "login data", "cookies.binarycookies", "key4.db", "key3.db", "logins.json", "cookies.sqlite")
       1 | process.args:( "/users/*/library/application support/google/chrome/default/login data", "/users/*/library/application support/google/chrome/default/cookies", "/users/*/library/cookies*", "/users/*/library/application support/firefox/profiles/*.default/cookies.sqlite", "/users/*/library/application support/firefox/profiles/*.default/key*.db", "/users/*/library/application support/firefox/profiles/*.default/logins.json", "login data", "cookies.binarycookies", "key4.db", "key3.db", "logins.json", "cookies.sqlite")
       1 | process.args:( "/users/*/library/keychains/*", "/library/keychains/*", "/network/library/keychains/*", "system.keychain", "login.keychain-db", "login.keychain")
       1 | process.args:( "c:\\users\\*", "c:\\programdata\\*", "c:\\windows\\temp\\*", "c:\\windows\\tasks\\*", "c:\\perflogs\\*", "c:\\intel\\*", "c:\\windows\\debug\\*", "c:\\hp\\*") and not (process.name:"cmd.exe"
       1 | process.args:( "com.google.googledrive.findersyncapiextension", "com.google.drivefs.findersync", "com.boxcryptor.osx.rednif", "com.adobe.accmac.accfindersync", "com.microsoft.onedrive.findersync", "com.insynchq.insync.insync- finder-integration", "com.box.desktop.findersyncext")
       1 | process.args:( "com.google.googledrive.findersyncapiextension", "com.google.drivefs.findersync", "com.boxcryptor.osx.rednif", "com.adobe.accmac.accfindersync", "com.microsoft.onedrive.findersync", "com.insynchq.insync.insync-finder-integration", "com.box.desktop.findersyncext") 
       1 | process.args:( "hw.model", "ioplatformexpertdevice", "/volumes/google chrome/google chrome.app/contents/frameworks/*/resources/install.sh", "-- defaults-torrc", "*chrome.app", "framework.framework/versi ons/*/resources/keystone_promote_preflight.sh", "/users/*/library/application support/google/chrome/recovery/*/chromerecovery", "$display", "*gio_launched_desktop_file_pid=$$*", "/opt/homebrew/*", "/usr/local/*brew*")
       1 | process.args:( "support/jamf/managementframeworkscripts/logouthook.sh", "support/jamf/managementframeworkscripts/loginhook.sh", "/library/application support/jamf/managementframeworkscripts/logouthook.sh", "/library/application support/jamf/managementframeworkscripts/loginhook.sh")
       1 | process.args:( /.*\/applications\/virtualbox.app\/.+/ or /\/usr\/local\/lib\/python.+/ or /\/var\/folders\/.+\/fp.*nstallhelper/ or /\/library\/filesystems\/.+/ or /\/usr\/lib\/virtualbox\/.+/ or /\/library\/application.*/ or "/run/postgresql" or "/var/crash" or "/var/run/postgresql" or /\/usr\/bin\/.+/ or /\/usr\/local\/share\/.+/ or /\/applications\/.+/ or /\/usr\/libexec\/.+/ or "/var/metrics" or /\/var\/lib\/dpkg\/.+/ or /\/run\/log\/journal\/.*/ or \/users\/*\/.minikube\/bin\/docker-machine-driver-hyperkit)
       1 | process.args:( /root/.ssh/id_rsa or /root/.ssh/id_rsa.pub or /root/.ssh/id_ed25519 or /root/.ssh/id_ed25519.pub or /root/.ssh/authorized_keys or /root/.ssh/authorized_keys2 or /root/.ssh/known_hosts or /root/.bash_history or /etc/hosts or /home/*/.ssh/id_rsa or /home/*/.ssh/id_rsa.pub or /home/*/.ssh/id_ed25519 or /home/*/.ssh/id_ed25519.pub or /home/*/.ssh/authorized_keys or /home/*/.ssh/authorized_keys2 or /home/*/.ssh/known_hosts or /home/*/.bash_history or /root/.aws/credentials or /root/.aws/config or /home/*/.aws/credentials or /home/*/.aws/config or /root/.docker/config.json or /home/*/.docker/config.json or /etc/group or /etc/passwd or /etc/shadow or /etc/gshadow)
       1 | process.args:(-querytype=* or -qt=* or -q=* or -type=*)
       1 | process.args:("-*i*", "+*i*")
       1 | process.args:("-e" and const*require*child_process*)
       1 | process.args:("-encode" or "/encode" or "-decode" or "/decode")
       1 | process.args:("-f" and "-setremotelogin" and on)
       1 | process.args:("-file", "-psconsolefile") and user.id:"s-1-5-18") and not (process.name:"msiexec.exe" and user.id:"s-1-5-18")
       1 | process.args:("-r", "-t", "-a*","-m*")
       1 | process.args:("-r", "-t", "-a*","-m*") 
       1 | process.args:("-setwebproxy" or "-setsecurewebproxy" or "-setautoproxyurl")
       1 | process.args:("-u" or "--remove" or "-z" or " --zero")
       1 | process.args:("-u" or "--remove" or "-z" or "--zero")
